Purpose,Windows Command,Linux Command,
List files and directories,dir,ls,
Delete a file,del filename,rm filename,
Delete a directory and its contents,rmdir /S foldername,rm -r foldername,
Copy a file,copy file1 file2,cp file1 file2,
Copy a directory,xcopy folder1 folder2 /E,cp -r folder1 folder2,
Move a file,move file folder,mv file folder,
Rename a file or directory,ren oldname newname,mv oldname newname,
Display file contents,type filename,cat filename,
Create an empty file,type nul > file.txt,touch file.txt,
Clear the terminal screen,cls,clear,
Display command history,doskey /history,history,
Search for text in a file,"find ""text"" file.txt","grep ""text"" file.txt",
Search for a file,dir filename /S,find . -name filename,
Display IP configuration,ipconfig,ip addr,
Display routing table,route print,ip route,
Show active network connections,netstat -an,ss -tuln,
Display running processes,tasklist,ps -ef,
Display system information,systeminfo,uname -a,
Display disk usage,"wmic logicaldisk get size,freespace,caption",df -h,
Display memory usage,systeminfo,free -h,
Display environment variables,set,printenv,
Shut down the system,shutdown /s /t 0,shutdown now,
Show hidden files,dir /a,ls -la,
Trace network route,tracert google.com,traceroute google.com,
Flush DNS cache,ipconfig /flushdns,sudo systemd-resolve --flush-caches,
Test network connectivity,ping google.com,ping google.com,
View file permissions,icacls filename,ls -l,
Display disk partitions,diskpart,lsblk,
Show file type/association,assoc,file filename,
Compare two files,fc file1 file2,diff file1 file2,
